frame_id,t_rx_us,uplink_latency_ms,path
# epoch,5455398750059,1.0000,1.0000,70,70,7,7,4.804,0.000,2.402,0.000,0.003,37.2840778,127.0439873,5
77,1777640007494333,35.868,0
78,1777640007534214,31.191,0
# epoch,5455398850184,1.0000,1.0000,72,72,7,7,4.804,0.000,2.402,0.000,0.003,37.2840778,127.0439873,5
79,1777640007605013,25.474,0
80,1777640007644293,20.967,0
# epoch,5455398950306,1.0000,1.0000,74,74,7,7,4.804,0.000,2.402,0.000,0.003,37.2840778,127.0439873,5
81,1777640007704064,26.268,0
82,1777640007739456,25.990,0
# epoch,5455399050428,1.0000,1.0000,76,76,7,7,4.804,0.000,2.402,0.000,0.003,37.2840778,127.0439873,5
83,1777640007809361,22.568,0
84,1777640007839279,27.227,0
# epoch,5455399150548,1.0000,1.0000,78,78,7,7,4.804,0.000,2.402,0.000,0.003,37.2840778,127.0439873,5
85,1777640007894170,35.749,0
86,1777640007939530,29.223,0
# epoch,5455399250667,1.0000,1.0000,80,80,7,7,4.804,0.000,2.402,0.000,0.003,37.2840778,127.0439873,5
87,1777640007999276,30.787,0
88,1777640008027625,38.494,1
# epoch,5455399350785,1.0000,1.0000,81,81,8,8,4.804,0.000,2.402,0.000,0.003,37.2840778,127.0439873,5
89,1777640008109314,21.008,0
90,1777640008139210,26.940,0
# epoch,5455399450904,1.0000,1.0000,83,83,8,8,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
91,1777640008198965,31.705,0
92,1777640008226158,40.108,1
# epoch,5455399551024,1.0000,1.0000,84,84,9,9,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
93,1777640008299077,30.238,0
94,1777640008339992,26.279,0
# epoch,5455399658278,1.0000,1.0000,86,86,9,9,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
95,1777640008409282,20.094,0
96,1777640008444173,22.101,0
# epoch,5455399758399,1.0000,1.0000,88,88,9,9,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455399858523,1.0000,1.0000,88,88,9,9,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455399958635,1.0000,1.0000,87,87,9,9,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455400058747,1.0000,1.0000,86,86,9,9,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455400158872,1.0000,1.0000,84,84,9,9,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455400258991,1.0000,1.0000,82,82,9,9,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455400359168,1.0000,1.0000,81,81,8,8,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455400459262,1.0000,1.0000,79,79,8,8,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455400559361,1.0000,1.0000,78,78,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455400666729,1.0000,1.0000,75,75,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455400766871,1.0000,1.0000,73,73,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455400867010,1.0000,1.0000,71,71,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455400967147,1.0000,1.0000,69,69,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455401067261,1.0000,1.0000,67,67,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455401167357,1.0000,1.0000,65,65,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455401267452,1.0000,1.0000,63,63,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455401367546,1.0000,1.0000,61,61,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455401467631,1.0000,1.0000,59,59,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455401567751,1.0000,1.0000,57,57,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455401675190,1.0000,1.0000,55,55,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455401775262,1.0000,1.0000,53,53,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455401875326,1.0000,1.0000,51,51,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455401975393,1.0000,1.0000,49,49,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455402075457,1.0000,1.0000,47,47,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455402175526,1.0000,1.0000,45,45,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455402275619,1.0000,1.0000,43,43,7,7,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455402375710,1.0000,1.0000,42,42,6,6,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455402475803,1.0000,1.0000,40,40,6,6,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
